strategy_id,instrument,session,tp,sl,mode,account_size,account_spec,contracts,daily_profit_cap_mode,total_payouts_dollars,avg_payout_per_week,avg_payout_per_month,payouts_count,resets,failed_combines,consistency_violations,winning_days,win_rate,max_drawdown_pct,avg_trade_pnl,trades_executed,final_equity,daily_limit_hits,profit_cap_blocks,avg_daily_profit
051,NQ,London,0.5,8.0,hold_day,50k,50k_consistency,1,False,1164000.0,3053.5152151101784,12824.76390346275,194,201,7,1000,1396,73.2423924449108,4.86097794822627,1415.0074951281667,1906,51500.0,666,0,1415.0074951281667
051,NQ,London,0.5,8.0,hold_day,50k,50k_consistency,1,True,42000.0,211.05527638190955,886.4321608040201,7,55,48,0,485,48.743718592964825,5.65,-50.262024407753074,995,50500.0,666,911,-50.262024407753074
051,NQ,London,0.5,8.0,hold_day,50k,150k_standard,1,False,1380000.0,3221.288515406163,13529.411764705883,138,148,10,295,1396,65.17273576097105,3.7749568705355605,1096.5379485127387,2142,151500.0,430,0,1096.5379485127387
051,NQ,London,0.5,8.0,hold_day,50k,150k_standard,1,True,280000.0,831.3539192399049,3491.686460807601,28,55,27,0,938,55.70071258907363,4.006162595517864,130.98235493722436,1684,155897.85714285716,430,458,130.98235493722436
051,NQ,London,0.5,8.0,hold_day,50k,150k_consistency,1,False,1656000.0,3865.546218487395,16235.29411764706,138,148,10,481,1396,65.17273576097105,3.7749568705355605,1096.5379485127387,2142,151500.0,430,0,1096.5379485127387
051,NQ,London,0.5,8.0,hold_day,50k,150k_consistency,1,True,336000.0,997.6247030878859,4190.023752969121,28,55,27,0,938,55.70071258907363,4.006162595517864,130.98235493722436,1684,155897.85714285716,430,458,130.98235493722436
051,NQ,London,1.0,10.0,hold_day,50k,50k_standard,1,False,744000.0,1960.9910384818136,8236.162361623617,186,193,7,481,1374,72.4301528729573,4.86097794822627,1408.7864297010317,1897,62075.0,675,0,1408.7864297010317
051,NQ,London,1.0,10.0,hold_day,50k,50k_standard,1,True,20000.0,100.50251256281408,422.1105527638191,5,56,51,0,472,47.43718592964824,5.785777865690831,-64.42426417803298,995,50500.0,675,902,-64.42426417803298
051,NQ,London,1.0,10.0,hold_day,50k,50k_consistency,1,False,1134000.0,2988.929889298893,12553.505535055352,189,196,7,986,1374,72.4301528729573,4.86097794822627,1408.7864297010317,1897,62075.0,675,0,1408.7864297010317
051,NQ,London,1.0,10.0,hold_day,50k,50k_consistency,1,True,30000.0,150.7537688442211,633.1658291457287,5,56,51,0,472,47.43718592964824,5.785777865690831,-64.42426417803298,995,50500.0,675,902,-64.42426417803298
051,NQ,London,1.0,10.0,hold_day,50k,150k_standard,1,False,1330000.0,3119.1369606003755,13100.375234521576,133,145,12,300,1374,64.44652908067542,3.8933333333333335,1088.7302331814528,2132,157675.0,440,0,1088.7302331814528
051,NQ,London,1.0,10.0,hold_day,50k,150k_standard,1,True,230000.0,687.3879258816497,2887.0292887029286,23,51,28,0,915,54.692169754931264,3.791820871710679,113.47451114336945,1673,156095.0,440,459,113.47451114336945
051,NQ,London,1.0,10.0,hold_day,50k,150k_consistency,1,False,1608000.0,3771.106941838649,15838.649155722327,134,146,12,486,1374,64.44652908067542,3.778834643631305,1088.7302331814528,2132,162075.0,440,0,1088.7302331814528
051,NQ,London,1.0,10.0,hold_day,50k,150k_consistency,1,True,276000.0,824.8655110579796,3464.4351464435144,23,51,28,0,915,54.692169754931264,3.791820871710679,113.47451114336945,1673,156095.0,440,459,113.47451114336945
051,NQ,London,0.5,10.0,hold_day,50k,50k_standard,1,False,752000.0,1966.5271966527198,8259.414225941422,188,194,6,520,1404,73.43096234309623,4.86097794822627,1415.5812910938434,1912,62075.0,660,0,1415.5812910938434
051,NQ,London,0.5,10.0,hold_day,50k,50k_standard,1,True,28000.0,140.42126379137412,589.7693079237713,7,54,47,0,489,49.047141424272816,5.793822545740705,-49.82805559535748,997,50500.0,660,915,-49.82805559535748
051,NQ,London,0.5,10.0,hold_day,50k,50k_consistency,1,False,1158000.0,3028.242677824268,12718.619246861925,193,199,6,1035,1404,73.43096234309623,4.86097794822627,1415.5812910938434,1912,51500.0,660,0,1415.5812910938434
051,NQ,London,0.5,10.0,hold_day,50k,50k_consistency,1,True,42000.0,210.6318956870612,884.653961885657,7,54,47,0,489,49.047141424272816,5.793822545740705,-49.82805559535748,997,50500.0,660,915,-49.82805559535748
051,NQ,London,0.5,10.0,hold_day,50k,150k_standard,1,False,1390000.0,3252.2227421619095,13659.335517080019,139,149,10,308,1404,65.69957884885353,3.778834643631305,1109.9324821177886,2137,151500.0,435,0,1109.9324821177886
051,NQ,London,0.5,10.0,hold_day,50k,150k_standard,1,True,280000.0,834.8240906380441,3506.261180679785,28,54,26,0,944,56.29099582587954,3.894600023632265,141.8519465031093,1677,157855.0,435,460,141.8519465031093
051,NQ,London,0.5,10.0,hold_day,50k,150k_consistency,1,False,1656000.0,3874.5905474964907,16273.280299485261,138,148,10,519,1404,65.69957884885353,3.778834643631305,1109.9324821177886,2137,162075.0,435,0,1109.9324821177886
051,NQ,London,0.5,10.0,hold_day,50k,150k_consistency,1,True,336000.0,1001.788908765653,4207.513416815742,28,54,26,0,944,56.29099582587954,3.894600023632265,141.8519465031093,1677,157855.0,435,460,141.8519465031093
003,NQ,London,0.5,8.0,hold_day,50k,50k_standard,1,False,728000.0,1921.858500527983,8071.805702217529,182,192,10,559,1364,72.01689545934529,4.53714285714287,1393.1807210740685,1894,51500.0,688,0,1393.1807210740685
003,NQ,London,0.5,8.0,hold_day,50k,50k_standard,1,True,12000.0,60.120240480961925,252.50501002004006,3,56,53,0,468,46.893787575150306,5.489999999999999,-77.05482393358149,998,51735.0,688,896,-77.05482393358149
003,NQ,London,0.5,8.0,hold_day,50k,50k_consistency,1,False,1110000.0,2930.3062302006333,12307.286166842661,185,195,10,1067,1364,72.01689545934529,4.53714285714287,1393.1807210740685,1894,63495.0,688,0,1393.1807210740685
003,NQ,London,0.5,8.0,hold_day,50k,50k_consistency,1,True,18000.0,90.1803607214429,378.7575150300601,3,56,53,0,468,46.893787575150306,5.489999999999999,-77.05482393358149,998,51735.0,688,896,-77.05482393358149
003,NQ,London,0.5,8.0,hold_day,50k,150k_standard,1,False,1270000.0,2961.7537313432836,12439.36567164179,127,138,11,330,1364,63.61940298507462,3.5552788369334447,1058.762326759062,2144,151500.0,438,0,1058.762326759062
003,NQ,London,0.5,8.0,hold_day,50k,150k_standard,1,True,230000.0,678.0660377358491,2847.877358490566,23,49,26,0,916,54.009433962264154,4.0569146704257815,98.61228099730455,1696,157440.0,438,448,98.61228099730455
003,NQ,London,0.5,8.0,hold_day,50k,150k_consistency,1,False,1536000.0,3582.089552238806,15044.776119402984,128,139,11,500,1364,63.61940298507462,3.5552788369334447,1058.762326759062,2144,159095.0,438,0,1058.762326759062
003,NQ,London,0.5,8.0,hold_day,50k,150k_consistency,1,True,276000.0,813.6792452830189,3417.4528301886794,23,49,26,0,916,54.009433962264154,4.0569146704257815,98.61228099730455,1696,157440.0,438,448,98.61228099730455
003,NQ,London,0.3,10.0,hold_day,50k,50k_standard,1,False,724000.0,1904.2609153077328,7997.895844292478,181,189,8,588,1374,72.27774855339295,4.35,1395.1867438190427,1901,51500.0,681,0,1395.1867438190427
003,NQ,London,0.3,10.0,hold_day,50k,50k_standard,1,True,24000.0,120.0,504.0,6,59,53,0,473,47.3,5.489999999999999,-72.63499999999995,1000,51735.0,681,901,-72.63499999999995
003,NQ,London,0.3,10.0,hold_day,50k,50k_consistency,1,False,1104000.0,2903.7348763808523,12195.68648079958,184,192,8,1079,1374,72.27774855339295,4.49,1395.1867438190427,1901,63495.0,681,0,1395.1867438190427
003,NQ,London,0.3,10.0,hold_day,50k,50k_consistency,1,True,36000.0,180.0,756.0,6,59,53,0,473,47.3,5.489999999999999,-72.63499999999995,1000,51735.0,681,901,-72.63499999999995
003,NQ,London,0.3,10.0,hold_day,50k,150k_standard,1,False,1330000.0,3111.839026672906,13069.723912026206,133,143,10,308,1374,64.2957416939635,3.52,1077.9721238050674,2137,151500.0,445,0,1077.9721238050674
003,NQ,London,0.3,10.0,hold_day,50k,150k_standard,1,True,250000.0,740.521327014218,3110.1895734597156,25,53,28,0,925,54.79857819905213,3.9800000000000004,117.30831076506432,1688,157440.0,445,449,117.30831076506432
003,NQ,London,0.3,10.0,hold_day,50k,150k_consistency,1,False,1596000.0,3734.2068320074873,15683.668694431446,133,143,10,481,1374,64.2957416939635,3.49889003015142,1077.9721238050674,2137,159095.0,445,0,1077.9721238050674
003,NQ,London,0.3,10.0,hold_day,50k,150k_consistency,1,True,300000.0,888.6255924170615,3732.2274881516587,25,53,28,0,925,54.79857819905213,3.9800000000000004,117.30831076506432,1688,157440.0,445,449,117.30831076506432
051,NQ,London,0.7,8.0,hold_day,50k,50k_standard,1,False,756000.0,1992.6199261992622,8369.003690036901,189,197,8,472,1380,72.74644175013178,4.86097794822627,1411.8239325250395,1897,62075.0,675,0,1411.8239325250395
051,NQ,London,0.7,8.0,hold_day,50k,50k_standard,1,True,24000.0,120.84592145015107,507.5528700906344,6,55,49,0,476,47.93554884189326,5.65,-56.294058408862035,993,50500.0,675,904,-56.294058408862035
051,NQ,London,0.7,8.0,hold_day,50k,50k_consistency,1,False,1146000.0,3020.558777016342,12686.346863468636,191,199,8,994,1380,72.74644175013178,4.86097794822627,1411.8239325250395,1897,51500.0,675,0,1411.8239325250395
051,NQ,London,0.7,8.0,hold_day,50k,50k_consistency,1,True,36000.0,181.2688821752266,761.3293051359517,6,55,49,0,476,47.93554884189326,5.65,-56.294058408862035,993,50500.0,675,904,-56.294058408862035
051,NQ,London,0.7,8.0,hold_day,50k,150k_standard,1,False,1340000.0,3127.917833800187,13137.254901960785,134,145,11,285,1380,64.42577030812325,3.7749568705355605,1080.8446712018144,2142,157675.0,430,0,1080.8446712018144
051,NQ,London,0.7,8.0,hold_day,50k,150k_standard,1,True,270000.0,800.711743772242,3362.989323843416,27,58,31,0,924,54.804270462633454,4.0529481176963165,114.76232841891203,1686,155392.85714285716,430,456,114.76232841891203
051,NQ,London,0.7,8.0,hold_day,50k,150k_consistency,1,False,1632000.0,3809.5238095238096,16000.0,136,147,11,439,1380,64.42577030812325,3.7749568705355605,1080.8446712018144,2142,162075.0,430,0,1080.8446712018144
051,NQ,London,0.7,8.0,hold_day,50k,150k_consistency,1,True,324000.0,960.8540925266905,4035.5871886120995,27,58,31,0,924,54.804270462633454,4.0529481176963165,114.76232841891203,1686,155392.85714285716,430,456,114.76232841891203
051,NQ,London,0.3,6.0,hold_day,50k,50k_standard,1,False,756000.0,1973.8903394255874,8290.339425587468,189,194,5,486,1403,73.26370757180156,4.642857142857143,1406.841850055949,1915,62075.0,657,0,1406.841850055949
051,NQ,London,0.3,6.0,hold_day,50k,50k_standard,1,True,28000.0,140.0,588.0,7,57,50,0,488,48.8,5.528632182771239,-52.02785714285719,1000,50690.0,657,915,-52.02785714285719
051,NQ,London,0.3,6.0,hold_day,50k,50k_consistency,1,False,1176000.0,3070.4960835509137,12896.083550913838,196,201,5,988,1403,73.26370757180156,4.86097794822627,1406.841850055949,1915,51500.0,657,0,1406.841850055949
051,NQ,London,0.3,6.0,hold_day,50k,50k_consistency,1,True,42000.0,210.0,882.0,7,57,50,0,488,48.8,5.528632182771239,-52.02785714285719,1000,50690.0,657,915,-52.02785714285719
051,NQ,London,0.3,6.0,hold_day,50k,150k_standard,1,False,1390000.0,3246.146660439047,13633.815973843999,139,147,8,281,1403,65.53012610929471,3.6826112978223975,1103.1343831320476,2141,155865.71428571426,431,0,1103.1343831320476
051,NQ,London,0.3,6.0,hold_day,50k,150k_standard,1,True,290000.0,860.5341246290801,3614.2433234421364,29,54,25,0,947,56.20178041543027,3.8050406982445812,144.36837643069094,1685,154394.28571428574,431,456,144.36837643069094
051,NQ,London,0.3,6.0,hold_day,50k,150k_consistency,1,False,1680000.0,3923.400280242877,16478.281177020086,140,148,8,475,1403,65.53012610929471,3.6826112978223975,1103.1343831320476,2141,160265.71428571426,431,0,1103.1343831320476
